,Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss,Comsume_time
2083,4,39,8,26,0.8461538461538461,0.02271835319697857,124.43987560272217
2084,4,39,6,10,0.6,0.10372091829776764,124.43987560272217
2085,4,39,3,5,0.6,0.16578060388565063,124.43987560272217
2086,4,40,2,106,0.7641509433962265,0.0066700768657028675,124.43987560272217
2087,4,40,6,26,0.38461538461538464,0.05246296897530556,124.43987560272217
2088,4,40,0,24,0.7916666666666666,0.02070450410246849,124.43987560272217
2089,4,40,8,125,0.936,0.0022928044199943542,124.43987560272217
2090,4,40,7,10,0.9,0.013897052966058254,124.43987560272217
2091,4,40,4,69,0.782608695652174,0.01066608913242817,124.43987560272217
2092,4,40,5,7,1.0,0.005514396354556084,124.43987560272217
2093,4,40,1,21,1.0,0.000835740938782692,124.43987560272217
2094,4,40,3,1,1.0,0.0188483614474535,124.43987560272217
2095,4,41,6,49,0.4897959183673469,0.022514885291457176,124.43987560272217
2096,4,41,4,173,0.791907514450867,0.0041656787507236,124.43987560272217
2097,4,41,7,30,0.8,0.01706860587000847,124.43987560272217
2098,4,41,2,26,0.8461538461538461,0.0213629137724638,124.43987560272217
2099,4,41,0,32,0.71875,0.021041911095380783,124.43987560272217
2100,4,41,5,24,0.9583333333333334,0.0073173693381249905,124.43987560272217
2101,4,41,1,7,1.0,0.00560125382617116,124.43987560272217
2102,4,41,3,9,0.8888888888888888,0.026822658255696297,124.43987560272217
2103,4,42,7,58,0.9310344827586207,0.002565675415098667,124.43987560272217
2104,4,42,0,19,0.8947368421052632,0.051947884261608124,124.43987560272217
2105,4,42,9,68,0.8823529411764706,0.005750846117734909,124.43987560272217
2106,4,42,3,78,0.8461538461538461,0.005142537876963615,124.43987560272217
2107,4,42,5,29,0.9310344827586207,0.006674658041447401,124.43987560272217
2108,4,42,4,28,0.7857142857142857,0.030910402536392212,124.43987560272217
2109,4,42,6,72,0.4583333333333333,0.020576370880007744,124.43987560272217
2110,4,42,2,13,0.8461538461538461,0.03982989117503166,124.43987560272217
2111,4,42,8,15,1.0,0.008452038280665874,124.43987560272217
2112,4,42,1,4,1.0,0.04799941927194595,124.43987560272217
2113,4,43,1,43,0.9767441860465116,0.0024131028912961483,124.43987560272217
2114,4,43,2,13,0.9230769230769231,0.023030422627925873,124.43987560272217
2115,4,43,4,48,0.7916666666666666,0.015485921874642372,124.43987560272217
2116,4,43,5,59,0.8813559322033898,0.004145586863160133,124.43987560272217
2117,4,43,6,47,0.5319148936170213,0.02751682884991169,124.43987560272217
2118,4,43,9,17,0.9411764705882353,0.009642527438700199,124.43987560272217
2119,4,43,7,30,0.9,0.006036509294062853,124.43987560272217
2120,4,43,3,27,0.8148148148148148,0.018467405810952187,124.43987560272217
2121,4,43,0,6,0.3333333333333333,0.319333016872406,124.43987560272217
2122,4,43,8,1,1.0,0.10852859169244766,124.43987560272217
